date/time,comment_id,fullname,text,likes,replyComment count
2018-09-12T14:38:56Z,UgzbvEd8daXP6eUSd6x4AaABAg,Avelovinit,LANY ALWAYS GETS HOW WE FEEL 😢💔,2314,30
2019-11-02T12:05:26Z,Ugz3HPhGKY8EGAZukHp4AaABAg,oxy,"sadly, the girl who made me listen to lany songs didnt stay :((",1154,41
2018-09-17T09:23:01Z,Ugxrh42xqrrell7kiSN4AaABAg,jaztine,LANY + Lauv = 💙💚💛💜❤,3077,44
2018-10-01T12:30:38Z,UgxShgiqFuuzii69sHp4AaABAg,Ashton,If you're reading this you have a goodtaste of music 👌🏻,2741,16
2018-11-01T18:41:58Z,Ugz5O0B7nDHSJR78zPB4AaABAg,Tiny,"I hope one day, LANY would collab with The 1975",832,15
2018-09-12T11:34:06Z,Ugz7eftwtKPC2_jch-t4AaABAg,Ashilla Sikado,thank u for blessing my ears. thank u💕💕,305,0
2021-03-18T21:55:50Z,UgwBt9CPqdxyNbY_ARJ4AaABAg,jeet yeet,"“ I could see my whole life with you baby. “

Damn. Didn’t know this would hurt so much, knowing she said this to me and left first.",56,2
2018-10-06T06:56:37Z,Ugz4JuPXP3AshGrS49x4AaABAg,Dusk,"IDWLYA = morning
Thick and thin=dusk
Thru These Tears=Night",591,7
2019-01-30T23:11:29Z,UgzzG4fYknMQcq2WgdV4AaABAg,Lola L'ananas,"I have nostalgia for the 80s, and LANY and the 1975 are the closest I'll get to rewinding back to my childhood when life was simpler and seemed more pure. ♡",300,5
2018-11-27T04:50:40Z,Ugw4CkmOFVMGf8C9m3B4AaABAg,Zero Two,Lauv+Lany+1975❤❤,359,9
2021-03-10T16:40:16Z,UgzhstQ4fQZLmHEkyXd4AaABAg,Violenceぃどガ,This is more painful when you're the one who left.,28,0
2020-04-08T08:20:22Z,UgwwdmaqkHlRfTYYIot4AaABAg,Certified XiaoSimp,"""Just one mistake you say you're not inlove no more""
Wtf this is just so me",68,2
2018-11-14T10:44:48Z,UgyG4xM9is7buN96b254AaABAg,Toji,I bet most of the viewers are Filipinos.,792,18
2020-03-27T11:42:14Z,UgzA7isejOhddQIX_PB4AaABAg,J,"When LANY said

""How'd you forget? I was your bestfriend"" I remember someone but now we're strangers, Aaaaaaahhhhhhhhkkk I'm cryingggggggg potangena :(((",75,3
2018-09-12T04:12:23Z,Ugx8PU1J4Zhym825GVF4AaABAg,Tan Thiadra,LANY is like... something you didn’t know you really need until you find it.,3522,13
2019-03-18T11:01:13Z,UgzrIw8GLxj03GEBubp4AaABAg,Princessita,"When Lany said
 "" Can't sleep, can't eat
My mind's a mess
What are you thinking?
You were happy last weekend
All the good times
How'd you forget?
I was your best friend, yeah""

I felt that😢😢",219,4
2020-06-12T02:10:56Z,UgxyieV2Ar5izqQUhmB4AaABAg,sincerelylalisa,It's been a year and I just realized how sad and deep the lyrics is. I was fooled by the beat!,43,1
2019-04-26T10:35:50Z,UgyWEDRauwkAf7sDSc14AaABAg,Jii Ana,LANY’s songs makes me feel understood.,43,1
