date/time,comment_id,fullname,text,likes,replyComment count
2021-05-16T00:02:35Z,UgzFs2-X3ybR8SZQMRB4AaABAg,Jrmn Grewal,"ਸ਼ਰਤ ਲਾਲੋ, ਬਹੁਤ ਸਾਰੇ ਐਥੇ ਦੂਜੀਆਂ ਪਾਰਟੀਆਂ ਦੇ ਆਏ ਹੋਣ ਗੇ🤣🤣 
Moostape🚩📲
On Repeat 🔥",185,2
2021-06-04T19:23:18Z,UgwXnUvdwKTF6fgAbLl4AaABAg,Dara Nitesh,"Everyone is creating fuck shits that old one is good old is good 
N listening to this one on loop ➿ 
Great work Kidd 👌 u maked the best version 🔥🔥🔥🔥 hit 🎯🏆",43,1
2021-06-04T08:24:42Z,UgzDHAjatPDfZDHpHsp4AaABAg,Arsh Hans,Sira sidhu 22,19,0
2021-06-03T18:27:15Z,UgwIH9zGDHA2ZHfqbLZ4AaABAg,INDER JAGPAL,Telant PLACE te depend kre na pind baitha baitha diniya ni SHAKE kardu 👌👌🔥🔥🔥🔥🔥🔥🔥,14,0
2021-06-03T13:52:52Z,UgwlqeEtoy1ES3XsU2B4AaABAg,Fateh Shergill,"MOOSETAPE TARGET BILLBOARD NO.1
: EVERY AUDIO 10 MILLION + VIEWS 
: LISTEN ON SLOTIFY AND HELP IT REACH 2 MILLION STREAMS ON EVERY SONG",90,4
2021-05-24T13:17:07Z,UgxP_OpJMw8UPy2kpyV4AaABAg,pb 13 ਵਾਲੇ  ਸੰਗਰੂਰੀਏ,ਮੈਂ ਰੱਬ ਅਗੇ ਇਹ ਅਰਦਾਸ ਕਰਦਾ ਹਾਂ ਕਿ ਸਾਰਿਆਂ ਦੇ ਮਾਪਿਆਂ  ਜਿਉਂਦੇ ਰਹਿਣ,356,3
2021-06-05T10:29:59Z,UgwlngEu4VBy_D3oJTN4AaABAg,Anas Khan,"Hor koi ni likh sakda 
Enj di lyrics 
Love You Hogya 
Siddhu veere
Love  from Punjab Pakistan ❣️",13,0
2021-06-02T03:31:10Z,UgwoNrfUk4sO_6FiILN4AaABAg,Bhrigu sharma,Agg e aa niri 🔥🔥🔥 ਬਹੁਤ ਈ ਜਿਆਦਾ ਤੱਤਾ ਗੀਤ 🔥🔥🔥,129,1
2021-06-03T05:08:16Z,Ugw9orp3c9AjhzFpqsR4AaABAg,POINT OF TECH,Love from pakistan ❤️❤️,41,2
2021-06-02T08:23:04Z,UgyxirrGqbPQLicYZyR4AaABAg,Sahil Singh,28 million complete 🔥🔥🔥,49,1
2021-05-15T08:24:22Z,UgwabffT3cEO2njECdN4AaABAg,Jass 13,KiDD ਲਈ ਵੀ ਲਾਇਕ ਬੰਨਦਾ ਆ ਮਿੱਤਰੋ..ਜਬਰਦਸਤ Music💣💣💣,219,6
2021-06-04T04:43:15Z,UgwayxnCWEiOE-NLwO94AaABAg,MEHLAWAT RECORDS,30 Million On Audio With 1 million Like ........ Amazing🔥,40,2
2021-06-03T12:14:51Z,UgzozT6Kl-sc_t_W2Ip4AaABAg,Har simran Singh,ਸਿੱਧੂ ਦੇ devil ਸੋਂਗ ਆਲੀ feeling ਆਈ ਇਸ ਗਾਣੇ ਚੋਂ,65,3
2021-06-04T06:32:44Z,Ugy-hiaFikSfdq6mJGB4AaABAg,preet Singh,ਲੰਡੀ ਬੁੱਚੀ ਸਭ ਡੱਕੀ ਫਿਰਦਾ ਸਿੱਧੂ ਮੁਸਿਆਲਾ ਅੱਤ ਚੱਕੀ ਫਿਰਦਾ 🤟🤟🤞,60,0
2021-06-05T07:12:11Z,UgzK6o0Ca0kJIbevp4h4AaABAg,Gursikander Singh,Nice song,4,0
